 	SPACE	 
LETTRE	NOUN	lettre
1	NUM	1
Henriette	PROPN	Henriette
à	ADP	à
Emilie	PROPN	Emilie
.	PUNCT	.

	SPACE	

que	PRON	que
sont	AUX	être
devenus	VERB	devenir
,	PUNCT	,
mon	DET	mon
Emilie	PROPN	Emilie
,	PUNCT	,
ces	DET	ce
jours	NOUN	jour
heureux	ADJ	heureux
que	PRON	que
nous	PRON	nous
avons	AUX	avoir
passés	VERB	passer
au	ADP	au
couvent	NOUN	couvent
?	PUNCT	?
Où	ADV	où
sont	VERB	être
les	DET	le
jeux	NOUN	jeu
de	ADP	de
notre	DET	notre
enfance	NOUN	enfance
,	PUNCT	,
nos	DET	notre
plaisirs	NOUN	plaisir
purs	ADJ	pur
,	PUNCT	,
notre	DET	notre
joie	NOUN	joie
franche	ADJ	franc
,	PUNCT	,
et	CCONJ	et
le	DET	le
charme	NOUN	charme
qui	PRON	qui
accompagnoitces	VERB	accompagnoitcer
premières	ADJ	premier
jouissances	NOUN	jouissance
?	PUNCT	?
Mon	DET	mon
amie	NOUN	amie
!	PUNCT	!
J	PRON	j
'	PRON	'
ai	AUX	avoir
tout	PRON	tout
perdu	VERB	perdre
.	PUNCT	.
L	DET	l
'	DET	'
âge	NOUN	âge
du	ADP	de
bonheur	NOUN	bonheur
est	AUX	être
déjà	ADV	déjà
fini	VERB	finir
pour	ADP	pour
moi	PRON	moi
.	PUNCT	.
J	PRON	j
'	PRON	'
entre	VERB	entre
dans	ADP	dans
une	DET	un
carrière	NOUN	carrière
douloureuse	ADJ	douloureux
,	PUNCT	,
dont	PRON	dont
les	DET	le
bornes	NOUN	borne
s	PRON	s
'	PRON	'
étendront	VERB	étendre
peut-être	ADV	peut-être
aussi	ADV	aussi
loin	ADV	loin
que	SCONJ	que
ma	DET	mon
vie	NOUN	vie
.	PUNCT	.
En	ADP	en
sortant	VERB	sortir
du	ADP	de
cloître	NOUN	cloître
,	PUNCT	,
je	PRON	je
crus	VERB	croire
renaître	VERB	renaître
un	DET	un
instant	NOUN	instant
.	PUNCT	.
L	DET	l
'	DET	'
air	NOUN	air
si	ADV	si
doux	ADJ	doux
de	ADP	de
la	DET	le
liberté	NOUN	liberté
que	PRON	que
je	PRON	je
commençais	VERB	commencer
à	ADP	à
respirer	VERB	respirer
,	PUNCT	,
le	DET	le
tableau	NOUN	tableau
d	ADP	d
'	ADP	'
un	DET	un
monde	NOUN	monde
enchanteur	ADJ	enchanteur
,	PUNCT	,
des	DET	un
amusements	NOUN	amusement
nouveaux	ADJ	nouveau
,	PUNCT	,
tout	PRON	tout
conspiroit	VERB	conspiroit
à	ADP	à
me	PRON	me
séduire	VERB	séduire
.	PUNCT	.
Mon	DET	mon
ivresse	NOUN	ivresse
dura	VERB	durer
peu	ADV	peu
,	PUNCT	,
tu	PRON	tu
le	PRON	le
sais	VERB	savoir
;	PUNCT	;
